ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","206","MLS Projetos de Informatica","1080","socks5","4691","1","2024-07-24T08:16:13.206Z","98","7325","7494"
"38.127.172.221","elite","AS174","US","Cogent Communications","86","Torlandia Trading SRL","55994","socks4","222","1","2024-07-24T08:16:13.207Z","100","7451","7467"
"180.211.183.178","elite","AS45588","BD","Bangladesh Telecommunications Company Ltd.","197","N/A","33445","socks4","2207","1","2024-07-24T08:16:13.289Z","81","180","222"
"103.140.83.94","elite","AS132290","BD","The Net","193","The","4145","socks4","1631","1","2024-07-24T08:16:12.892Z","98","7447","7564"
"178.32.116.99","elite","AS16276","FR","OVH SAS","8","OVH ISP","62763","socks4","2701","82","2024-07-24T08:16:12.705Z","100","7585","7596"
"103.12.246.113","elite","AS134941","IN","Instant Cable Network PVT LTD","181","Instant Cable Network PVT LTD","4145","socks4","77","1","2024-07-24T08:16:12.703Z","99","7524","7579"
"177.184.67.73","elite","AS52898","BR","Multipla ServiÔos Inteligentes","198","Multipla Serviços Inteligentes","4145","socks4","4101","1","2024-07-24T08:16:12.708Z","76","5730","7520"
"139.180.146.114","elite","AS20473","SG","SGP VULTR","159","N/A","34959","socks4","73","81","2024-07-24T08:16:12.800Z","83","6191","7497"
"223.240.65.47","elite","AS4134","CN","Chinanet","296","Chinanet AH","33080","socks4","4101","81","2024-07-24T08:16:12.890Z","6","466","7513"
"82.136.54.88","elite","AS2856","GB","British Telecommunications PLC","16","Btnet LHL","30755","socks4","2410","5","2024-07-24T08:16:12.699Z","98","715","728"
